Title,Genre
 (2021) ჰელოუინი კლავს - Halloween Kills,"საშინელება, ტრილერი"
 (2022) სასწრაფო დახმარება - Ambulance,"დრამა, მძაფრ-სიუჟეტიანი, კრიმინალური"
 (2022) გამოსაშვები საღამო - Senior Year,"დრამა, კომედია"
 (2022) შავი სინათლე - Blacklight,"მძაფრ-სიუჟეტიანი, ტრილერი"
 (2022) ძაღლი - Dog,"დრამა, კომედია"
 (2021) კოშმარული ხეივანი - Nightmare Alley,"დრამა, ტრილერი, კრიმინალური"
 (2022) დიდი გამყინვარება 6: ბაკ უაილდის თავგადასავალი - The Ice Age Adventures of Buck Wild,"ანიმაციური , სათავგადასავლო, კომედია"
 (2022) X - X,"საშინელება, ტრილერი"
 (2021) ღმერთის ეგზორციზმი - The Exorcism of God,"დრამა, საშინელება"
 (2022) 365 დღე: ეს დღე - 365 Days: This Day,"დრამა, მელოდრამა"
 (2021) გუჩის სახლი - House of Gucci,"დრამა, კრიმინალური"
 (2022) ტურისტები - Backpackers,"მელოდრამა, კომედია"
 (2022) უსასრულო ქარიშხალი - Infinite Storm,"დრამა, ტრილერი"
 (2011) ექსტრასენსი - The Awakening,"საშინელება, ტრილერი"
 (2022) ძველი დანები - All the Old Knives,ტრილერი
 (2020) დაარსება - Initiation,"საშინელება, კრიმინალური, მისტიკა"
 (2022) კონტრაქტორი - The Contractor,"მძაფრ-სიუჟეტიანი, ტრილერი"
 (2012) გამბიტი - Gambit,"კრიმინალური, კომედია"
 (2022) მთვარის ვარდნა - Moonfall,"მძაფრ-სიუჟეტიანი, სათავგადასავლო, ფანტასტიკა"
 (2020) დე გოლი - De Gaulle,"დრამა, ისტორიული, ბიოგრაფიული"
 (2022) სიყვარულის ტაქტიკა - Love Tactics,მელოდრამა
 (2022) ეკლექტური ფრაგმენტები - Eclectic Fragments,"დრამა, კომედია, ბიოგრაფიული"
 (2021) მეფე რიჩარდი - King Richard,"დრამა, სპორტული, ბიოგრაფიული"
 (2022) სიკვდილი ნილოსზე - Death on the Nile,"დრამა, კრიმინალური, მისტიკა"
 (2022) კარგ ხელში - In Good Hands,"დრამა, კომედია"
 (2022) მხსნელი რუბი - Rescued by Ruby,"დრამა, ბიოგრაფიული"
 (2022) ახალი - Fresh,"საშინელება, ტრილერი, კომედია"
 (2020) გაძევება - The Banishing,"საშინელება, ტრილერი"
 (2021) ნდობა - Trust,"დრამა, მელოდრამა, ტრილერი"
 (2021) სამოთხის სამხრეთით - South of Heaven,"დრამა, მძაფრ-სიუჟეტიანი, კრიმინალური"
 (2022) პროექტი “ადამი” - The Adam Project,"მძაფრ-სიუჟეტიანი, სათავგადასავლო, კომედია"
 (2021) ენკანტო - Encanto,"ანიმაციური , კომედია"
 (2021) კინგს მენი - The King's Man,"მძაფრ-სიუჟეტიანი, სათავგადასავლო, ტრილერი"
 (2021) სპენსერი - Spencer,"დრამა, ბიოგრაფიული"
 (2021) მოხუცი ჰენრი - Old Henry,"ტრილერი, ვესტერნი"
 (2021) მშვიდი წყალი - Stillwater,"დრამა, ტრილერი, კრიმინალური"
 (2021) კამიარის თვის შვილი - Kamiarizuki no kodomo,"ანიმაციური , დრამა, ფანტასტიკა"
 (2022) გასასვლელი არ არის - No Exit,"დრამა, ტრილერი, მისტიკა"
 (2022) მაღალი გოგო 2 - Tall Girl 2,"დრამა, კომედია"
" (2022) მინდა, რომ დაბრუნდე - I Want You Back","მელოდრამა, კომედია"
 (2022) ცა არის ყველგან - The Sky Is Everywhere,"დრამა, მელოდრამა, მუსიკალური"
 (2021) ეიფელი - Eiffel,"დრამა, ისტორიული, ბიოგრაფიული"
 (2021) ტროლებზე მონადირეები: ტიტანების აჯანყება - Trollhunters: Rise of the Titans,"ანიმაციური , მძაფრ-სიუჟეტიანი, სათავგადასავლო"
 (2022) ტეხასური ჟლეტა ხერხით - Texas Chainsaw Massacre,"საშინელება, ტრილერი, კრიმინალური"
